Rowid_,OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y,NEAR_ANGLE
,0,21,558,0.152814765509130,37,-159.371319000000000,22.131585999999999,-159.342206299999987,21.981569990000001,-79.017466946222669
,0,21,557,0.159744643723311,38,-159.371319000000000,22.131585999999999,-159.368872600000003,21.971860090000000,-89.122512834795486
,0,21,556,0.168664768814863,39,-159.371319000000000,22.131585999999999,-159.397205200000002,21.964919540000000,-98.828490737866872
,0,21,569,0.173896710690580,40,-159.371319000000000,22.131585999999999,-159.536111099999999,22.076055560000000,-161.377587854546078
,0,21,555,0.176874478432539,41,-159.371319000000000,22.131585999999999,-159.430537399999992,21.964919380000001,-109.560659993958382
,0,21,601,0.194518749628423,42,-159.371319000000000,22.131585999999999,-159.549200000000013,22.210300000000000,156.130163473484657
,0,21,600,0.195875005584194,43,-159.371319000000000,22.131585999999999,-159.556299999999993,22.195999100000002,160.801132491190089
,0,21,599,0.195936895854250,44,-159.371319000000000,22.131585999999999,-159.556399999999996,22.195900000000002,160.838115712974741
,0,21,554,0.206703016855098,45,-159.371319000000000,22.131585999999999,-159.466939999999994,21.948329999999999,-117.555066079316163
,0,21,590,0.216044367645370,46,-159.371319000000000,22.131585999999999,-159.586666699999995,22.114249999999998,-175.397479307114878
,0,22,592,0.025635858577398,1,-159.362305999999990,22.115397000000002,-159.375799999999998,22.093599999999999,-121.760656479907340
,0,22,591,0.026821819616890,2,-159.362305999999990,22.115397000000002,-159.385600000000011,22.102100400000001,-150.281561553805176
,0,22,594,0.035113584906701,3,-159.362305999999990,22.115397000000002,-159.366199999999992,22.080500000000001,-96.367040665841273
,0,22,593,0.035280536347966,4,-159.362305999999990,22.115397000000002,-159.365900000000011,22.080300000000001,-95.846817489466076
,0,22,595,0.036353121530354,5,-159.362305999999990,22.115397000000002,-159.378600000000006,22.082899999999999,-116.629192424978200
,0,22,596,0.040185823930829,6,-159.362305999999990,22.115397000000002,-159.327799999999996,22.094799999999999,-30.833428487172789
,0,22,597,0.045103295580903,7,-159.362305999999990,22.115397000000002,-159.317204000000004,22.115055139999999,-0.434276974211241
,0,22,579,0.045500541150633,8,-159.362305999999990,22.115397000000002,-159.376599999999996,22.072199999999999,-108.309514332100136
,0,22,580,0.045626937712283,9,-159.362305999999990,22.115397000000002,-159.376700000000000,22.072099999999999,-108.389282168403668
,0,22,581,0.052064654185946,10,-159.362305999999990,22.115397000000002,-159.395888899999989,22.075611110000001,-130.167400762894005
,0,22,598,0.054907307740297,11,-159.362305999999990,22.115397000000002,-159.312000000000012,22.137399700000000,23.623474367398270
,0,22,577,0.056161651017400,12,-159.362305999999990,22.115397000000002,-159.365000000000009,22.059300000000000,-92.749457743982575
,0,22,573,0.059712299577557,13,-159.362305999999990,22.115397000000002,-159.395999999999987,22.066099200000000,-124.351777698562501
,0,22,575,0.059907151868542,14,-159.362305999999990,22.115397000000002,-159.396199999999993,22.065999999999999,-124.456162147127429
,0,22,612,0.067795056884021,15,-159.362305999999990,22.115397000000002,-159.377757599999995,22.181407740000001,103.174427873423369
,0,22,574,0.069943135214998,16,-159.362305999999990,22.115397000000002,-159.400535800000000,22.056826319999999,-123.132976600205183
,0,22,614,0.071130459614703,17,-159.362305999999990,22.115397000000002,-159.331940000000003,22.179720000000000,64.728651043574843
,0,22,615,0.072323457950155,18,-159.362305999999990,22.115397000000002,-159.337500000000006,22.183333330000000,69.941041848697594
