OBJECTID,IN_FID,NEAR_FID,NEAR_DIST,NEAR_RANK,FROM_X,FROM_Y,NEAR_X,NEAR_Y
-1,8,357,0.069518787388721,9,-158.027700000000010,21.570799999999998,-158.089169999999996,21.538329999999998
-1,8,356,0.069694289006773,10,-158.027700000000010,21.570799999999998,-158.089300000000009,21.538200400000001
-1,9,418,0.011580155439369,1,-159.396299999999997,22.016999999999999,-159.387000000000000,22.023900000000001
-1,9,414,0.011800542362114,2,-159.396299999999997,22.016999999999999,-159.386799999999994,22.024000200000000
-1,9,416,0.040050939644188,3,-159.396299999999997,22.016999999999999,-159.400535800000000,22.056826319999999
-1,9,407,0.045070833140736,4,-159.396299999999997,22.016999999999999,-159.358599999999996,21.992300000000000
-1,9,417,0.049000102040710,5,-159.396299999999997,22.016999999999999,-159.396199999999993,22.065999999999999
-1,9,415,0.049100116503325,6,-159.396299999999997,22.016999999999999,-159.395999999999987,22.066099200000000
-1,9,403,0.052088325955549,7,-159.396299999999997,22.016999999999999,-159.397205200000002,21.964919540000000
-1,9,419,0.052621098430186,8,-159.396299999999997,22.016999999999999,-159.365000000000009,22.059300000000000
-1,9,404,0.052819255443140,9,-159.396299999999997,22.016999999999999,-159.368872600000003,21.971860090000000
-1,9,422,0.058482219520123,10,-159.396299999999997,22.016999999999999,-159.376700000000000,22.072099999999999
-1,10,417,0.005060632371554,1,-159.400599999999997,22.063500000000001,-159.396199999999993,22.065999999999999
-1,10,415,0.005283544325554,2,-159.400599999999997,22.063500000000001,-159.395999999999987,22.066099200000000
-1,10,416,0.006673988791003,3,-159.400599999999997,22.063500000000001,-159.400535800000000,22.056826319999999
-1,10,423,0.012995131728542,4,-159.400599999999997,22.063500000000001,-159.395888899999989,22.075611110000001
-1,10,422,0.025400196849628,5,-159.400599999999997,22.063500000000001,-159.376700000000000,22.072099999999999
-1,10,421,0.025528219679406,6,-159.400599999999997,22.063500000000001,-159.376599999999996,22.072199999999999
-1,10,541,0.026027101260025,7,-159.400599999999997,22.063500000000001,-159.376000000000005,22.071999999999999
-1,10,437,0.029331893904068,8,-159.400599999999997,22.063500000000001,-159.378600000000006,22.082899999999999
-1,10,419,0.035846896657858,9,-159.400599999999997,22.063500000000001,-159.365000000000009,22.059300000000000
-1,10,436,0.038371343474008,10,-159.400599999999997,22.063500000000001,-159.366199999999992,22.080500000000001
-1,11,389,0.007606931647097,1,-159.493599999999986,21.912800000000001,-159.493872199999998,21.905197940000001
-1,11,455,0.016559287424290,2,-159.493599999999986,21.912800000000001,-159.502600000000001,21.898900000000001
-1,11,400,0.017740406435300,3,-159.493599999999986,21.912800000000001,-159.476799999999997,21.907100700000001
-1,11,547,0.018395571477943,4,-159.493599999999986,21.912800000000001,-159.510394999999988,21.905294999999999
-1,11,390,0.022606782721122,5,-159.493599999999986,21.912800000000001,-159.489632999999998,21.890543999999998
-1,11,399,0.025066710992886,6,-159.493599999999986,21.912800000000001,-159.518100000000004,21.907499999999999
-1,11,391,0.031950426286254,7,-159.493599999999986,21.912800000000001,-159.462205699999998,21.906864710000001
-1,11,388,0.032682601724705,8,-159.493599999999986,21.912800000000001,-159.517206700000003,21.890197430000001
-1,11,398,0.033356657511819,9,-159.493599999999986,21.912800000000001,-159.526499999999999,21.918300599999998
-1,11,397,0.042137054753422,10,-159.493599999999986,21.912800000000001,-159.533871699999992,21.925198450000000
-1,12,389,0.017128440474356,1,-159.497199999999992,21.922000000000001,-159.493872199999998,21.905197940000001
-1,12,547,0.021287673663413,2,-159.497199999999992,21.922000000000001,-159.510394999999988,21.905294999999999
-1,12,455,0.023722773868165,3,-159.497199999999992,21.922000000000001,-159.502600000000001,21.898900000000001
-1,12,400,0.025261613972385,4,-159.497199999999992,21.922000000000001,-159.476799999999997,21.907100700000001
-1,12,399,0.025437374078323,5,-159.497199999999992,21.922000000000001,-159.518100000000004,21.907499999999999
-1,12,398,0.029532618582855,6,-159.497199999999992,21.922000000000001,-159.526499999999999,21.918300599999998
-1,12,390,0.032353352608347,7,-159.497199999999992,21.922000000000001,-159.489632999999998,21.890543999999998
-1,12,397,0.036810917718694,8,-159.497199999999992,21.922000000000001,-159.533871699999992,21.925198450000000
-1,12,388,0.037572217175665,9,-159.497199999999992,21.922000000000001,-159.517206700000003,21.890197430000001
-1,12,391,0.038127129919175,10,-159.497199999999992,21.922000000000001,-159.462205699999998,21.906864710000001
-1,13,390,0.006320587393588,1,-159.488200000000006,21.896699999999999,-159.489632999999998,21.890543999999998
-1,13,389,0.010217085547432,2,-159.488200000000006,21.896699999999999,-159.493872199999998,21.905197940000001
-1,13,455,0.014567086187699,3,-159.488200000000006,21.896699999999999,-159.502600000000001,21.898900000000001
-1,13,400,0.015431609134832,4,-159.488200000000006,21.896699999999999,-159.476799999999997,21.907100700000001
-1,13,547,0.023801093462259,5,-159.488200000000006,21.896699999999999,-159.510394999999988,21.905294999999999
