above,station,index
Above On Index,Kaupakalua,76.79799565958595,35.4
Above Off Index,Kaupakalua,35.0733457237999,34.4
Above On Index,Kaupakalua,45.4654278582531,35.4
Above On Index,Kapaia,59.0528255323791,45.0
Above On Index,Kapaia,45.02267369789497,45.0
Above On Index,Kapaia,53.35873921257477,45.0
Above On Index,Kapaia,50.50845956398156,45.0
Above On Index,Kapaia,140.716,45.0
Above On Index,Kapaia,53.6570861486178,45.0
Above On Index,Kapaia,56.529931648437504,45.0
Above On Index,Kapaia,63.459826140021,45.0
Above On Index,Kapaia,55.85,45.0
Above On Index,Kapaia,122.388302937255,45.0
Above On Index,Kapaia,85.99399999999994,45.0
Above On Index,Kapaia,50.03599999999995,45.0
Above On Index,Kapaia,63.5,45.0
Above On Index,Kapaia,65.9380000000001,45.0
Above Off Index,Kapaia,44.7040000000001,44.0
Above On Index,Kapaia,72.898,45.0
Above On Index,Kapaia,45.57167205906825,45.0
Above On Index,Kapaia,58.376793039988456,45.0
Above On Index,Kapaia,59.538554754891535,45.0
Above On Index,Kapaia,116.44465657877592,45.0
Above On Index,Kapaia,76.79799565958595,45.0
Above On Index,Kapaia,45.4654278582531,45.0
Above On Index,Wailua,59.0528255323791,30.5
Above On Index,Wailua,45.02267369789497,30.5
Above On Index,Wailua,34.539082189752975,30.5
Above On Index,Wailua,32.22649555218371,30.5
Above On Index,Wailua,53.35873921257477,30.5
Above On Index,Wailua,30.818876042233224,30.5
Above On Index,Wailua,36.25796834065102,30.5
Above On Index,Wailua,50.50845956398156,30.5
Above On Index,Wailua,140.716,30.5
Above On Index,Wailua,53.6570861486178,30.5
Above On Index,Wailua,42.0640615724006,30.5
Above On Index,Wailua,56.529931648437504,30.5
Above On Index,Wailua,63.459826140021,30.5
Above On Index,Wailua,55.85,30.5
Above On Index,Wailua,122.388302937255,30.5
Above On Index,Wailua,38.1,30.5
Above Off Index,Wailua,29.57399999999995,29.5
Above On Index,Wailua,33.27300000000005,30.5
Above On Index,Wailua,85.99399999999994,30.5
Above On Index,Wailua,50.03599999999995,30.5
Above On Index,Wailua,37.8459999999998,30.5
Above On Index,Wailua,63.5,30.5
Above On Index,Wailua,65.9380000000001,30.5
Above On Index,Wailua,44.7040000000001,30.5
Above On Index,Wailua,31.14000000000005,30.5
Above Off Index,Wailua,30.4444989712352,29.5
Above On Index,Wailua,37.338,30.5
Above On Index,Wailua,72.898,30.5
Above On Index,Wailua,45.57167205906825,30.5
Above On Index,Wailua,43.380223150258416,30.5
Above On Index,Wailua,41.4671151561006,30.5
Above On Index,Wailua,39.915799216910884,30.5
Above On Index,Wailua,34.334807653874414,30.5
Above On Index,Wailua,38.98485627949698,30.5
Above On Index,Wailua,58.376793039988456,30.5
Above On Index,Wailua,59.538554754891535,30.5
Above On Index,Wailua,40.88230040847888,30.5
Above On Index,Wailua,116.44465657877592,30.5
Above On Index,Wailua,76.79799565958595,30.5
Above On Index,Wailua,35.0733457237999,30.5
Above On Index,Wailua,45.4654278582531,30.5
Above On Index,Aepo,59.0528255323791,49.0
Above On Index,Aepo,53.35873921257477,49.0
Above On Index,Aepo,50.50845956398156,49.0
Above On Index,Aepo,140.716,49.0
Above On Index,Aepo,53.6570861486178,49.0
Above On Index,Aepo,56.529931648437504,49.0
Above On Index,Aepo,63.459826140021,49.0
Above On Index,Aepo,55.85,49.0
Above On Index,Aepo,122.388302937255,49.0
Above On Index,Aepo,85.99399999999994,49.0
Above On Index,Aepo,50.03599999999995,49.0
Above On Index,Aepo,63.5,49.0
Above On Index,Aepo,65.9380000000001,49.0
Above On Index,Aepo,72.898,49.0
Above On Index,Aepo,58.376793039988456,49.0
Above On Index,Aepo,59.538554754891535,49.0
Above On Index,Aepo,116.44465657877592,49.0
Above On Index,Aepo,76.79799565958595,49.0
Above On Index,Huinawai,59.0528255323791,28.0
Above On Index,Huinawai,45.02267369789497,28.0
Above On Index,Huinawai,34.539082189752975,28.0
Above On Index,Huinawai,32.22649555218371,28.0
Above On Index,Huinawai,53.35873921257477,28.0
Above On Index,Huinawai,30.818876042233224,28.0
Above On Index,Huinawai,36.25796834065102,28.0
Above On Index,Huinawai,28.53237893400246,28.0
Above On Index,Huinawai,50.50845956398156,28.0
Above On Index,Huinawai,140.716,28.0
